,department_name,Sum of Dept Total output cost,prev_year Sum of Dept Total output cost,program_name,program_description,Total output cost,deliverable,year,estimate_or_actual,measure_unit,measure_type,deliverable_id
991,Department of Health and Human Services,9211.699999999999,,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",320.5,Percentage of Community Service Agreement performance targets that have been achieved by State Trustees,2009,90.0,per cent,Quality,131
992,Department of Health and Human Services,9211.699999999999,,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",320.5,Percentage of customer requests answered by State Trustees within the timelines set in the Community Service Agreement,2009,90.0,per cent,Timeliness,133
993,Department of Health and Human Services,9211.699999999999,,Sport and Recreation,"This output provides strategic leadership to the Victorian sport and recreation industry through innovation, sector development and funding support. It enhances participation in sport and active recreation and assists Victoria’s elite athletes achieve their potential. This output improves community sport and recreation facilities across the state and guides the development and management of state-level sport facilities and a range of sporting events.",73.7,"Combat sports licences, registrations and permits issued",2009,515.0,number (min),Quantity,156
994,Department of Health and Human Services,9211.699999999999,,Sport and Recreation,"This output provides strategic leadership to the Victorian sport and recreation industry through innovation, sector development and funding support. It enhances participation in sport and active recreation and assists Victoria’s elite athletes achieve their potential. This output improves community sport and recreation facilities across the state and guides the development and management of state-level sport facilities and a range of sporting events.",73.7,Victorian Institute of Sport scholarship holders on national teams/squads,2009,65.0,per cent (min),Quantity,163
995,Department of Health and Human Services,9211.699999999999,,Sport and Recreation,"This output provides strategic leadership to the Victorian sport and recreation industry through innovation, sector development and funding support. It enhances participation in sport and active recreation and assists Victoria’s elite athletes achieve their potential. This output improves community sport and recreation facilities across the state and guides the development and management of state-level sport facilities and a range of sporting events.",73.7,Contract management of outdoor recreation camps meets agreed key performance indicators,2009,95.0,per cent (min),Quality,164
848,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Total separations – all hospitals,2010,1457.0,number (000),Quantity,0
849,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Weighted Inlier Equivalent Separations (WIES) – all hospitals except small rural health services,2010,1351.0,number (000),Quantity,1
850,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,WIES funded emergency separations – all hospitals,2010,490.0,number (000),Quantity,2
851,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,WIES funded separations – all hospitals except small rural health services,2010,999.0,number (000),Quantity,3
852,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Hospitals participating in Victorian Hospital Acquired Infection Surveillance System (VICNISS),2010,99.5,per cent,Quality,7
853,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Major trauma patients transferred to a major trauma service,2010,86.0,per cent,Quality,9
854,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Public hospitals accredited,2010,100.0,per cent,Quality,10
855,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Non-urgent (Category 3) elective surgery patients admitted within 365 days,2010,92.0,per cent,Timeliness,17
856,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Semi-urgent (Category 2) elective surgery patients admitted within 90 days,2010,75.0,per cent,Timeliness,18
857,Department of Health and Human Services,10843.299999999996,9211.699999999999,Admitted Services,Acute and sub-acute patient services (elective and non-elective) provided at Victorian metropolitan and rural public hospitals.,6228.2,Urgent (Category 1) elective surgery patients admitted within 30 days,2010,100.0,per cent,Timeliness,19
858,Department of Health and Human Services,10843.299999999996,9211.699999999999,Non-Admitted Services,"Acute and sub-acute services provided at Victorian metropolitan and rural public hospitals. Access to high quality services allows the right care to be delivered at the right time in the right location. Non-admitted sub-acute services improve consumer access to services closer to home by providing models of integrated community care, which significantly reduces the demand for hospital beds and supports the transition from hospital to home in a safe and timely manner. The services improve health outcomes, particularly for older people and people with complex care needs.",1072.2,Completed post-acute episodes,2010,41745.0,number,Quantity,20
859,Department of Health and Human Services,10843.299999999996,9211.699999999999,Non-Admitted Services,"Acute and sub-acute services provided at Victorian metropolitan and rural public hospitals. Access to high quality services allows the right care to be delivered at the right time in the right location. Non-admitted sub-acute services improve consumer access to services closer to home by providing models of integrated community care, which significantly reduces the demand for hospital beds and supports the transition from hospital to home in a safe and timely manner. The services improve health outcomes, particularly for older people and people with complex care needs.",1072.2,Patients treated in Specialist Outpatient Clinics – unweighted,2010,1347.0,number (000),Quantity,22
860,Department of Health and Human Services,10843.299999999996,9211.699999999999,Non-Admitted Services,"Acute and sub-acute services provided at Victorian metropolitan and rural public hospitals. Access to high quality services allows the right care to be delivered at the right time in the right location. Non-admitted sub-acute services improve consumer access to services closer to home by providing models of integrated community care, which significantly reduces the demand for hospital beds and supports the transition from hospital to home in a safe and timely manner. The services improve health outcomes, particularly for older people and people with complex care needs.",1072.2,Post-acute clients not readmitted to acute hospital,2010,92.0,per cent,Quality,23
861,Department of Health and Human Services,10843.299999999996,9211.699999999999,Emergency Services,"This output relates to emergency presentations at reporting hospitals with emergency departments. It aims to provide high quality, accessible health and community services, specifically in the area of improving waiting times for emergency services.",353.1,Emergency presentations,2010,1398.0,number (000),Quantity,25
862,Department of Health and Human Services,10843.299999999996,9211.699999999999,Emergency Services,"This output relates to emergency presentations at reporting hospitals with emergency departments. It aims to provide high quality, accessible health and community services, specifically in the area of improving waiting times for emergency services.",353.1,Emergency Category 1 treated immediately,2010,100.0,per cent,Timeliness,29
863,Department of Health and Human Services,10843.299999999996,9211.699999999999,Acute Training and Development,Provision of grants to hospitals for the training and accreditation of health workers. These outputs aim to provide career opportunities and contribute towards a stable and accredited workforce in the health sector in Victoria.,283.2,Funded post graduate nursing and midwifery places at Diploma and Certificate level,2010,849.0,number,Quantity,34
864,Department of Health and Human Services,10843.299999999996,9211.699999999999,Acute Training and Development,Provision of grants to hospitals for the training and accreditation of health workers. These outputs aim to provide career opportunities and contribute towards a stable and accredited workforce in the health sector in Victoria.,283.2,Total funded FTE (early graduate) allied health positions in public system,2010,461.0,number,Quantity,35
865,Department of Health and Human Services,10843.299999999996,9211.699999999999,Acute Training and Development,Provision of grants to hospitals for the training and accreditation of health workers. These outputs aim to provide career opportunities and contribute towards a stable and accredited workforce in the health sector in Victoria.,283.2,Total funded FTE (early graduate) medical positions in public system,2010,1074.0,number,Quantity,36
866,Department of Health and Human Services,10843.299999999996,9211.699999999999,Acute Training and Development,Provision of grants to hospitals for the training and accreditation of health workers. These outputs aim to provide career opportunities and contribute towards a stable and accredited workforce in the health sector in Victoria.,283.2,Total funded FTE (early graduate) nursing and midwifery positions in public system,2010,1330.0,number,Quantity,37
867,Department of Health and Human Services,10843.299999999996,9211.699999999999,Seniors Programs and Participation,Support broader community planning processes to facilitate an integrated community planning and response approach aimed at encouraging older Victorians to fully participate and engage in the community.,6.1,Seniors funded activities and programs: number approved,2010,142.0,number,Quantity,39
868,Department of Health and Human Services,10843.299999999996,9211.699999999999,Seniors Programs and Participation,Support broader community planning processes to facilitate an integrated community planning and response approach aimed at encouraging older Victorians to fully participate and engage in the community.,6.1,Eligible seniors in the Seniors Card program,2010,95.0,per cent,Quality,41
869,Department of Health and Human Services,10843.299999999996,9211.699999999999,Seniors Programs and Participation,Support broader community planning processes to facilitate an integrated community planning and response approach aimed at encouraging older Victorians to fully participate and engage in the community.,6.1,Senior satisfaction with Victorian Seniors Festival events,2010,90.0,per cent,Quality,42
870,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,Audited cases attended by Community Emergency Response Teams (CERT) meeting clinical practice standards,2010,96.2,per cent,Quality,47
871,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,Audited cases statewide meeting clinical practice standards,2010,97.9,per cent,Quality,48
872,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,Proportion of patients experiencing severe cardiac or traumatic pain whose level of pain is reduced significantly,2010,91.1,per cent,Quality,51
873,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,Proportion of patients very satisfied or satisfied with overall services delivered by paramedics,2010,98.0,per cent,Quality,52
874,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,CERT arrival occurs prior to ambulance,2010,85.7,per cent,Timeliness,53
875,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,Proportion of emergency (Code 1) incidents responded to within 15 minutes – statewide,2010,80.7,per cent,Timeliness,54
876,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Emergency Services,"Emergency road, rotary and fixed air wing patient treatment and transport services provide timely and high quality emergency ambulance services. Timely and high quality emergency ambulance services contribute to high quality, accessible health and community services for all Victorians.",442.0,Proportion of emergency (Code 1) incidents responded to within 15 minutes in centres with more than 7 500 population,2010,86.9,per cent,Timeliness,55
877,Department of Health and Human Services,10843.299999999996,9211.699999999999,Ambulance Non-Emergency Services,"Non-emergency road, rotary and fixed air wing patient treatment and transport services provide access to timely, high quality non-emergency ambulance services. High quality non-emergency ambulance services contribute to high quality, accessible health and community services for all Victorians. The output supports departmental priorities through provision of patient transport officers to service non-emergency, pre and post hospital patients.",100.3,Audited cases statewide meeting clinical practice standards,2010,98.7,per cent,Quality,59
878,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Clinical inpatient separations,2010,19248.0,number,Quantity,60
879,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,New case index,2010,47.0,per cent,Quantity,62
880,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Registered community clients,2010,59396.0,number,Quantity,63
881,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Residential bed days,2010,342743.0,number,Quantity,64
882,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Clients readmitted (unplanned) within 28 days,2010,13.0,per cent,Quality,66
883,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,New client index,2010,44.0,per cent,Quality,67
884,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Number of area mental health services achieving or maintaining accreditation under the National Standards for Mental Health Services,2010,21.0,number,Quality,68
885,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Post-discharge community care,2010,73.0,per cent,Quality,69
886,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Pre-admission community care,2010,57.2,per cent,Quality,70
887,Department of Health and Human Services,10843.299999999996,9211.699999999999,Clinical Care,"A range of inpatient residential and community-based clinical services provided to people with mental illness, and their families so that those experiencing mental health problems can access timely, high quality care and support to recover and live successfully in the community.",891.9,Emergency patients admitted to a mental health bed within eight hours,2010,73.0,per cent,Timeliness,72
888,Department of Health and Human Services,10843.299999999996,9211.699999999999,Mental Health Community Support Services (MHCSS),"A range of rehabilitation and support services provided to youth and adults with a psychiatric disability, and their families and carers, so that those experiencing mental health problems can access timely, high quality care and support to recover and reintegrate into the community.",90.3,Bed days,2010,76700.0,number,Quantity,73
889,Department of Health and Human Services,10843.299999999996,9211.699999999999,Mental Health Community Support Services (MHCSS),"A range of rehabilitation and support services provided to youth and adults with a psychiatric disability, and their families and carers, so that those experiencing mental health problems can access timely, high quality care and support to recover and reintegrate into the community.",90.3,Clients receiving community mental health support services,2010,13383.0,number,Quantity,75
890,Department of Health and Human Services,10843.299999999996,9211.699999999999,Mental Health Community Support Services (MHCSS),"A range of rehabilitation and support services provided to youth and adults with a psychiatric disability, and their families and carers, so that those experiencing mental health problems can access timely, high quality care and support to recover and reintegrate into the community.",90.3,Proportion of major agencies accredited,2010,100.0,per cent,Quality,76
891,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Clients on the pharmacotherapy program,2010,13054.0,number,Quantity,77
892,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Commenced courses of treatment: community-based drug treatment services,2010,43994.0,number,Quantity,78
893,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Commenced courses of treatment: residential-based drug treatment services,2010,5725.0,number,Quantity,79
894,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Successful courses of treatment (episodes of care): community-based drug treatment services,2010,43153.0,number,Quality,85
895,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Successful courses of treatment (episodes of care): residential-based drug treatment services,2010,5646.0,number,Quality,86
896,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Trained Alcohol and drug workers,2010,67.0,per cent,Quality,87
897,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Average working days between screening of client and commencement of community-based drug treatment,2010,7.9,days,Timeliness,88
898,Department of Health and Human Services,10843.299999999996,9211.699999999999,Drug Treatment and Rehabilitation,"Assists the community and individuals to control and reduce the harmful effects of illicit and licit drugs, including alcohol, in Victoria through the provision of community based non-residential and residential treatment services, education and training, and support services.",104.3,Average working days between screening of client and commencement of residential-based drug treatment,2010,1.15,days,Timeliness,89
899,Department of Health and Human Services,10843.299999999996,9211.699999999999,Dental Services,This output includes delivery of a range of dental health services to support health and wellbeing in the community.,155.6,Persons treated,2010,329850.0,number,Quantity,90
900,Department of Health and Human Services,10843.299999999996,9211.699999999999,Dental Services,This output includes delivery of a range of dental health services to support health and wellbeing in the community.,155.6,Waiting time for dentures,2010,19.0,months,Timeliness,91
901,Department of Health and Human Services,10843.299999999996,9211.699999999999,Dental Services,This output includes delivery of a range of dental health services to support health and wellbeing in the community.,155.6,Waiting time for restorative dental care,2010,20.0,months,Timeliness,92
902,Department of Health and Human Services,10843.299999999996,9211.699999999999,"Public Health Development, Research and Support","Develops and advocates for research and development activities, which support evidence based public health policies.",14.9,Number of people trained in emergency response,2010,2101.0,number,Quantity,93
903,Department of Health and Human Services,10843.299999999996,9211.699999999999,"Public Health Development, Research and Support","Develops and advocates for research and development activities, which support evidence based public health policies.",14.9,Operation infrastructure support grants under management,2010,13.0,number,Quantity,94
904,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Daily average number of children in out-of-home care placements,2010,5951.0,number,Quantity,97
905,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Number of Child FIRST assessments and interventions,2010,8865.0,number,Quantity,98
906,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Number of children receiving an intensive support service,2010,900.0,number,Quantity,100
907,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Number of family services cases provided to Aboriginal families,2010,1582.0,number,Quantity,101
908,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Reports to child protection services about the wellbeing and safety of children,2010,47481.0,number,Quantity,102
909,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Total number of family services cases provided,2010,26223.0,number,Quantity,103
910,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Children and young people who were the subject of a substantiated report within 12 months of the closure of a previous substantiated report,2010,12.11,per cent,Quality,105
911,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,"Children and young people who were the subject of an investigation which led to a decision not to substantiate, who were subsequently the subject of a substantiation within three months of case closure",2010,2.62,per cent,Quality,106
912,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Organisations that have successfully completed a certification review (specialist support and placement services),2010,100.0,per cent,Quality,108
913,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Proportion of placements that are home-based care,2010,91.1,per cent,Quality,110
914,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,"Percentage of child protection investigations assessed as urgent, that were visited, or where attempts were made to visit, within two days of receipt of the report",2010,94.93,per cent,Timeliness,111
915,Department of Health and Human Services,10843.299999999996,9211.699999999999,Child Protection and Family Services,"This output provides: · child protection services to ensure the safety and wellbeing of children and young people at risk of harm, abuse and neglect; · specialist support and placement services to ensure the safety and wellbeing of children and young people who require support to remain with their family or are placed in out-of-home care; and · a range of early intervention and support services to ensure the safety and wellbeing of children, young people and families.",612.0,Sexual assault support services clients receiving an initial response within five working days of referral,2010,98.0,per cent,Timeliness,112
916,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Households receiving mains electricity concessions,2010,809112.0,number,Quantity,125
917,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Households receiving mains gas concessions,2010,697125.0,number,Quantity,126
918,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Households receiving non-mains energy concessions,2010,21922.0,number,Quantity,127
919,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Households receiving pensioner concessions for municipal rates and charges,2010,411499.0,number,Quantity,128
920,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Households receiving water and sewerage concessions,2010,669776.0,number,Quantity,129
921,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Number of clients receiving trustee services,2010,15202.0,number,Quantity,130
922,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Percentage of Community Service Agreement performance targets that have been achieved by State Trustees,2010,81.3,per cent,Quality,131
923,Department of Health and Human Services,10843.299999999996,9211.699999999999,Concessions to Pensioners and Beneficiaries,"This output provides reductions in the price of energy, water, and municipal rates to eligible consumers and concession card holders. It also provides trustee services for people on a low income or those who are subject to an order by the Victorian Civil and Administrative Tribunal, and other social and community services, including the provision of emergency relief for individuals or families who are experiencing immediate and personal distress due to a financial or domestic crisis.",393.3,Percentage of customer requests answered by State Trustees within the timelines set in the Community Service Agreement,2010,91.4,per cent,Timeliness,133
924,Department of Health and Human Services,10843.299999999996,9211.699999999999,Office for Disability,"The Office for Disability leads and coordinates whole of government policy, disability action planning and funding, and support to disability advocacy and self-advocacy organisations so that people with a disability experience reduced disadvantage, can fully participate in the community and have their rights upheld.",7.3,Number of Disability Advocacy clients,2010,1995.0,number (min),Quantity,155
